service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS32024-hba34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
BUS32024-hbb34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbb34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
BUS32024-hbc34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbc34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
BUS32024-hbf34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
BUS32024-hbg34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbg34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
BUS32024-hbl343l1-Weekday-02,1,1,1,1,1,0,0,20240705,20240802
BUS32024-hbl34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbl34sn1-Weekday-02,1,1,1,1,1,0,0,20240805,20240823
BUS32024-hbq34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbq34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
BUS32024-hbs34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbs34nt1-Weekday-02,1,1,1,1,1,0,0,20240805,20240823
BUS32024-hbs34ut1-Weekday-02,1,1,1,1,1,0,0,20240708,20240802
BUS32024-hbt34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbt34ns1-Weekday-02,1,1,1,1,1,0,0,20240627,20240823
Boat-EastBoston-Saturday-Summer-24,0,0,0,0,0,1,0,20240629,20240824
Boat-EastBoston-Sunday-Summer-24,0,0,0,0,0,0,1,20240630,20240818
Boat-F1-Saturday-Summer-24,0,0,0,0,0,1,0,20240629,20240824
Boat-F1-Sunday-Summer-24,0,0,0,0,0,0,1,20240630,20240818
Boat-F4-Saturday-Summer-24,0,0,0,0,0,1,0,20240629,20240824
Boat-F4-Sunday-Summer-24,0,0,0,0,0,0,1,20240630,20240818
Boat-Lynn-Saturday-Summer-24,0,0,0,0,0,1,0,20240629,20240824
