service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/07/01 04:00:00+00,Rail,Green Line,3965521,180251,22,4846481,156338,31,509
2019/07/01 04:00:00+00,Rail,Orange Line,4532500,206023,22,5350327,172591,31,510
2019/07/01 04:00:00+00,Rail,Red Line,5580380,253654,22,6558589,211567,31,511
2019/07/01 04:00:00+00,Bus,Silver Line,825192,37509,22,1024590,33051,31,512
2019/07/01 04:00:00+00,The RIDE,The RIDE,123486,5613,22,200568,6470,31,513
2019/08/01 04:00:00+00,Rail,Blue Line,1569038,71320,22,1941946,62643,31,514
2019/08/01 04:00:00+00,Bus,Bus,7338690,333577,22,8720653,281311,31,515
2019/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2655004,120682,22,2800661,90344,31,516
2022/01/01 05:00:00+00,The RIDE,The RIDE,53865,2693,20,62548,2018,31,517
2022/02/01 05:00:00+00,Rail,Blue Line,678309,35700,19,887788,31707,28,518
2022/02/01 05:00:00+00,Bus,Bus,4119991,216842,19,5045702,180203,28,519
2022/02/01 05:00:00+00,Commuter Rail,Commuter Rail,846107,44532,19,970097,34646,28,520
2022/02/01 05:00:00+00,Ferry,Ferry,23784,1252,19,25274,903,28,521
2022/02/01 05:00:00+00,Rail,Green Line,1788066,94109,19,2394233,85508,28,522
2022/02/01 05:00:00+00,Rail,Orange Line,1805723,95038,19,2271725,81133,28,523
2022/02/01 05:00:00+00,Rail,Red Line,2055200,108168,19,2625136,93755,28,524
2022/02/01 05:00:00+00,Bus,Silver Line,397402,20916,19,512852,18316,28,525
2022/02/01 05:00:00+00,The RIDE,The RIDE,56920,2996,19,67034,2394,28,526
2022/03/01 05:00:00+00,Rail,Blue Line,913745,39728,23,1112833,35898,31,527
2022/03/01 05:00:00+00,Bus,Bus,5470492,237848,23,6313503,203661,31,528
2022/03/01 05:00:00+00,Commuter Rail,Commuter Rail,1330024,57827,23,1489943,48063,31,529
2022/03/01 05:00:00+00,Ferry,Ferry,45309,1970,23,47624,1536,31,530
2022/03/01 05:00:00+00,Rail,Green Line,2319955,100868,23,2861864,92318,31,531
2022/03/01 05:00:00+00,Rail,Orange Line,2375081,103264,23,2777631,89601,31,532
2022/03/01 05:00:00+00,Rail,Red Line,2838860,123429,23,3359469,108370,31,533
2022/03/01 05:00:00+00,Bus,Silver Line,549718,23901,23,669664,21602,31,534
2022/03/01 05:00:00+00,The RIDE,The RIDE,76406,3322,23,87827,2833,31,535
2022/04/01 04:00:00+00,Rail,Blue Line,779745,37131,21,1019266,33976,30,536
2022/04/01 04:00:00+00,Bus,Bus,4889521,232834,21,5927733,197591,30,537
2022/04/01 04:00:00+00,Commuter Rail,Commuter Rail,1319519,62834,21,1509267,50309,30,538
2022/04/01 04:00:00+00,Ferry,Ferry,48427,2306,21,52280,1743,30,539
2022/04/01 04:00:00+00,Rail,Green Line,2192050,104383,21,2878507,95950,30,540
2022/04/01 04:00:00+00,Rail,Orange Line,2233210,106343,21,2793194,93106,30,541
2022/04/01 04:00:00+00,Rail,Red Line,2682417,127734,21,3286475,109549,30,542
2022/04/01 04:00:00+00,Bus,Silver Line,533899,25424,21,676215,22541,30,543
2022/04/01 04:00:00+00,The RIDE,The RIDE,69279,3299,21,83670,2789,30,544
2022/05/01 04:00:00+00,Rail,Blue Line,600224,28582,21,808015,26065,31,545
2022/05/01 04:00:00+00,Bus,Bus,5126095,244100,21,6257742,201863,31,546
2022/05/01 04:00:00+00,Commuter Rail,Commuter Rail,1316186,62676,21,1526921,49256,31,547
2022/05/01 04:00:00+00,Ferry,Ferry,55231,2630,21,64332,2075,31,548
2022/05/01 04:00:00+00,Rail,Green Line,2034787,96895,21,2741708,88442,31,549
2022/05/01 04:00:00+00,Rail,Orange Line,2204981,104999,21,2825014,91129,31,550
2020/07/01 04:00:00+00,Rail,Green Line,622270,27055,23,758147,24456,31,551
2020/07/01 04:00:00+00,Rail,Orange Line,980535,42632,23,1186796,38284,31,552
2020/07/01 04:00:00+00,Rail,Red Line,1066068,46351,23,1279618,41278,31,553
2020/07/01 04:00:00+00,Bus,Silver Line,297526,12936,23,393234,12685,31,554
2020/07/01 04:00:00+00,The RIDE,The RIDE,43597,1896,23,60480,1951,31,555
2020/08/01 04:00:00+00,Rail,Blue Line,491557,23407,21,575160,18554,31,556
2020/08/01 04:00:00+00,Bus,Bus,2937396,139876,21,3843412,123981,31,557
2020/08/01 04:00:00+00,Commuter Rail,Commuter Rail,275983,13142,21,308476,9951,31,558
2020/08/01 04:00:00+00,Ferry,Ferry,18312,872,21,18319,591,31,559
2020/08/01 04:00:00+00,Rail,Green Line,749944,35712,21,987774,31864,31,560
2020/08/01 04:00:00+00,Rail,Orange Line,1017020,48430,21,1296660,41828,31,561
2020/08/01 04:00:00+00,Rail,Red Line,1134155,54007,21,1458827,47059,31,562
2020/08/01 04:00:00+00,Bus,Silver Line,280178,13342,21,385679,12441,31,563
2020/08/01 04:00:00+00,The RIDE,The RIDE,40673,1937,21,55066,1776,31,564
2020/09/01 04:00:00+00,Rail,Blue Line,534765,25465,21,698212,23274,30,565
2020/09/01 04:00:00+00,Bus,Bus,3290779,156704,21,4099515,136651,30,566
2020/09/01 04:00:00+00,Commuter Rail,Commuter Rail,318769,14539,21,345989,11533,30,567
2020/09/01 04:00:00+00,Ferry,Ferry,16527,787,21,16534,551,30,568
2020/09/01 04:00:00+00,Rail,Green Line,966037,46002,21,1270411,42347,30,569
2020/09/01 04:00:00+00,Rail,Orange Line,1180225,56201,21,1508907,50297,30,570
2020/09/01 04:00:00+00,Rail,Red Line,1288872,61375,21,1644315,54810,30,571
2020/09/01 04:00:00+00,Bus,Silver Line,296861,14136,21,386212,12874,30,572
2020/09/01 04:00:00+00,The RIDE,The RIDE,45219,2153,21,60279,2009,30,573
2020/10/01 04:00:00+00,Rail,Blue Line,538534,24479,22,699029,22549,31,574
2020/10/01 04:00:00+00,Bus,Bus,3397061,154412,22,4216339,136011,31,575
2020/10/01 04:00:00+00,Commuter Rail,Commuter Rail,346828,15765,22,408247,13169,31,576
2020/10/01 04:00:00+00,Ferry,Ferry,12210,555,22,12203,394,31,577
2020/10/01 04:00:00+00,Rail,Green Line,1024202,46555,22,1350943,43579,31,578
2020/10/01 04:00:00+00,Rail,Orange Line,1235415,56155,22,1574354,50786,31,579
2020/10/01 04:00:00+00,Rail,Red Line,1354516,61569,22,1729511,55791,31,580
2020/10/01 04:00:00+00,Bus,Silver Line,313542,14252,22,403971,13031,31,581
